"","1q21","1q22","1q23","1q24","1q25","1q41","9p13","9p21","9p24"
"Werba_2023_P01","loss","neutral","neutral","neutral","neutral","neutral","gain","neutral","gain"
"Werba_2023_P04","gain","gain","gain","neutral","neutral","neutral","loss","neutral","neutral"
"Werba_2023_P05","neutral","neutral","neutral","gain","neutral","gain","loss","neutral","neutral"
"Werba_2023_P07","neutral","gain","neutral","neutral","neutral","neutral","neutral","loss","loss"
"Werba_2023_P09","gain","gain","neutral","neutral","neutral","gain","gain","gain","gain"
"Werba_2023_P11","neutral","loss","loss","neutral","loss","neutral","loss","loss","neutral"
"Werba_2023_P13","neutral","gain","gain","neutral","gain","gain","gain","neutral","gain"
"Werba_2023_P16","neutral","gain","neutral","gain","neutral","neutral","loss","loss","loss"
"Werba_2023_P20","neutral","neutral","neutral","neutral","neutral","gain","loss","neutral","neutral"
"Werba_2023_P21","gain","neutral","gain","neutral","gain","neutral","loss","neutral","gain"
"Werba_2023_P22","neutral","loss","neutral","gain","neutral","gain","loss","neutral","gain"
"Werba_2023_P23","neutral","neutral","neutral","gain","gain","neutral","loss","loss","neutral"
"Werba_2023_P24","gain","neutral","gain","neutral","neutral","loss","loss","neutral","gain"
"Werba_2023_P25","neutral","neutral","neutral","gain","gain","loss","gain","neutral","loss"
"Werba_2023_P26","neutral","neutral","neutral","neutral","neutral","neutral","gain","gain","gain"
"Steele_2020_PDAC_TISSUE_2","gain","neutral","neutral","gain","gain","gain","loss","loss","loss"
"Steele_2020_PDAC_TISSUE_3","loss","loss","loss","neutral","neutral","neutral","neutral","gain","loss"
"Steele_2020_PDAC_TISSUE_6","neutral","gain","neutral","neutral","gain","gain","loss","loss","loss"
"Steele_2020_PDAC_TISSUE_10","gain","neutral","gain","gain","gain","neutral","neutral","gain","gain"
"Steele_2020_PDAC_TISSUE_11A","neutral","neutral","neutral","neutral","neutral","neutral","neutral","gain","gain"
"Steele_2020_PDAC_TISSUE_11B","neutral","neutral","gain","neutral","gain","neutral","neutral","gain","gain"
"Steele_2020_PDAC_TISSUE_13","loss","loss","loss","loss","loss","gain","loss","gain","loss"
"Steele_2020_PDAC_TISSUE_15","loss","neutral","loss","loss","neutral","gain","gain","loss","neutral"
"Steele_2020_PDAC_TISSUE_16","neutral","loss","loss","neutral","neutral","neutral","loss","neutral","loss"
"T3","gain","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral"
"T17","loss","loss","loss","loss","loss","neutral","neutral","gain","loss"
"T18","neutral","loss","neutral","neutral","loss","loss","gain","gain","neutral"
"T19","neutral","neutral","neutral","loss","neutral","loss","neutral","loss","neutral"
"T21","neutral","neutral","gain","neutral","neutral","neutral","neutral","loss","loss"
"T22","gain","gain","neutral","neutral","neutral","gain","loss","gain","neutral"
"T24","neutral","neutral","neutral","loss","neutral","loss","neutral","gain","neutral"
"T6","neutral","neutral","neutral","neutral","neutral","neutral","gain","neutral","gain"
"T9","neutral","gain","neutral","loss","loss","loss","neutral","neutral","loss"
"T2","neutral","neutral","neutral","loss","neutral","neutral","gain","gain","gain"
"T7","gain","loss","neutral","neutral","neutral","neutral","gain","gain","gain"
"T11","neutral","neutral","neutral","loss","neutral","loss","gain","gain","gain"
"T14","loss","loss","loss","loss","loss","neutral","neutral","neutral","loss"
"T15","neutral","neutral","neutral","neutral","loss","neutral","gain","gain","neutral"
"T16","neutral","neutral","neutral","neutral","loss","loss","gain","gain","gain"
"T20","neutral","neutral","neutral","neutral","neutral","loss","neutral","neutral","neutral"
"T1","neutral","neutral","neutral","loss","neutral","neutral","neutral","neutral","neutral"
"T8","loss","neutral","loss","loss","neutral","loss","neutral","gain","neutral"
"Lin_2020_P01","neutral","neutral","neutral","neutral","loss","loss","gain","gain","gain"
"Lin_2020_MET01","gain","neutral","gain","gain","gain","neutral","loss","loss","gain"
"Lin_2020_MET02","loss","neutral","gain","gain","gain","loss","loss","loss","loss"
"Lin_2020_MET04","neutral","loss","neutral","neutral","neutral","neutral","neutral","loss","loss"
"Lin_2020_MET05","neutral","gain","gain","gain","gain","neutral","gain","loss","gain"
"Lin_2020_MET06","gain","gain","gain","gain","gain","neutral","loss","loss","loss"
"Lin_2020_P03","loss","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral"
"Lin_2020_P04","gain","neutral","gain","gain","neutral","gain","neutral","loss","neutral"
"Lin_2020_P06","neutral","gain","neutral","neutral","neutral","gain","gain","loss","loss"
"Lin_2020_P07","neutral","gain","loss","neutral","neutral","neutral","gain","loss","loss"
"Lin_2020_P08","loss","neutral","loss","neutral","loss","neutral","gain","neutral","neutral"
"Lin_2020_P09","loss","loss","loss","loss","loss","neutral","loss","neutral","loss"
"Lin_2020_P10","loss","loss","loss","neutral","loss","neutral","neutral","loss","neutral"
