"","Sample","CellType","Proportion"
"1","Lin_2020_MET01","CD4_T",0
"2","Lin_2020_MET01","CD8_T",0
"3","Lin_2020_MET02","CD4_T",0.045
"4","Lin_2020_MET02","CD8_T",0
"5","Lin_2020_MET04","CD4_T",0.112
"6","Lin_2020_MET04","CD8_T",0.042
"7","Lin_2020_MET05","CD4_T",0.002
"8","Lin_2020_MET05","CD8_T",0.01
"9","Lin_2020_MET06","CD4_T",0.037
"10","Lin_2020_MET06","CD8_T",0.186
"11","Lin_2020_P01","CD4_T",0.25
"12","Lin_2020_P01","CD8_T",0.045
"13","Lin_2020_P03","CD4_T",0
"14","Lin_2020_P03","CD8_T",0
"15","Lin_2020_P04","CD4_T",0.018
"16","Lin_2020_P04","CD8_T",0.343
"17","Lin_2020_P06","CD4_T",0.016
"18","Lin_2020_P06","CD8_T",0
"19","Lin_2020_P07","CD4_T",0.071
"20","Lin_2020_P07","CD8_T",0.016
"21","Lin_2020_P08","CD4_T",0
"22","Lin_2020_P08","CD8_T",0
"23","Lin_2020_P09","CD4_T",0.004
"24","Lin_2020_P09","CD8_T",0
"25","Lin_2020_P10","CD4_T",0.008
"26","Lin_2020_P10","CD8_T",0
"27","Steele_2020_PDAC_TISSUE_10","CD4_T",0.131
"28","Steele_2020_PDAC_TISSUE_10","CD8_T",0.093
"29","Steele_2020_PDAC_TISSUE_11A","CD4_T",0.023
"30","Steele_2020_PDAC_TISSUE_11A","CD8_T",0.006
"31","Steele_2020_PDAC_TISSUE_11B","CD4_T",0.267
"32","Steele_2020_PDAC_TISSUE_11B","CD8_T",0.012
"33","Steele_2020_PDAC_TISSUE_13","CD4_T",0.087
"34","Steele_2020_PDAC_TISSUE_13","CD8_T",0.024
"35","Steele_2020_PDAC_TISSUE_15","CD4_T",0.19
"36","Steele_2020_PDAC_TISSUE_15","CD8_T",0.032
"37","Steele_2020_PDAC_TISSUE_16","CD4_T",0.09
"38","Steele_2020_PDAC_TISSUE_16","CD8_T",0.06
"39","Steele_2020_PDAC_TISSUE_2","CD4_T",0.056
"40","Steele_2020_PDAC_TISSUE_2","CD8_T",0.012
"41","Steele_2020_PDAC_TISSUE_3","CD4_T",0.325
"42","Steele_2020_PDAC_TISSUE_3","CD8_T",0.073
"43","Steele_2020_PDAC_TISSUE_6","CD4_T",0.172
"44","Steele_2020_PDAC_TISSUE_6","CD8_T",0.035
"45","T1","CD4_T",0.027
"46","T1","CD8_T",0.017
"47","T11","CD4_T",0.035
"48","T11","CD8_T",0.013
"49","T14","CD4_T",0
"50","T14","CD8_T",0.016
"51","T15","CD4_T",0.193
"52","T15","CD8_T",0.051
"53","T16","CD4_T",0.029
"54","T16","CD8_T",0.005
"55","T17","CD4_T",0.024
"56","T17","CD8_T",0
"57","T18","CD4_T",0
"58","T18","CD8_T",0
"59","T19","CD4_T",0.043
"60","T19","CD8_T",0.017
"61","T2","CD4_T",0.222
"62","T2","CD8_T",0.042
"63","T20","CD4_T",0.031
"64","T20","CD8_T",0.031
"65","T21","CD4_T",0.036
"66","T21","CD8_T",0.016
"67","T22","CD4_T",0.333
"68","T22","CD8_T",0.031
"69","T24","CD4_T",0.048
"70","T24","CD8_T",0.069
"71","T3","CD4_T",0.052
"72","T3","CD8_T",0.006
"73","T6","CD4_T",0.02
"74","T6","CD8_T",0.042
"75","T7","CD4_T",0.054
"76","T7","CD8_T",0.036
"77","T8","CD4_T",0.052
"78","T8","CD8_T",0.022
"79","T9","CD4_T",0.02
"80","T9","CD8_T",0.013
"81","Werba_2023_P01","CD4_T",0.047
"82","Werba_2023_P01","CD8_T",0.193
"83","Werba_2023_P02","CD4_T",0.24
"84","Werba_2023_P02","CD8_T",0.293
"85","Werba_2023_P04","CD4_T",0.208
"86","Werba_2023_P04","CD8_T",0.404
"87","Werba_2023_P05","CD4_T",0.179
"88","Werba_2023_P05","CD8_T",0.148
"89","Werba_2023_P07","CD4_T",0.14
"90","Werba_2023_P07","CD8_T",0.121
"91","Werba_2023_P09","CD4_T",0.116
"92","Werba_2023_P09","CD8_T",0.311
"93","Werba_2023_P11","CD4_T",0.104
"94","Werba_2023_P11","CD8_T",0.077
"95","Werba_2023_P13","CD4_T",0.105
"96","Werba_2023_P13","CD8_T",0.069
"97","Werba_2023_P16","CD4_T",0.176
"98","Werba_2023_P16","CD8_T",0.253
"99","Werba_2023_P20","CD4_T",0.134
"100","Werba_2023_P20","CD8_T",0.182
"101","Werba_2023_P21","CD4_T",0.068
"102","Werba_2023_P21","CD8_T",0.199
"103","Werba_2023_P22","CD4_T",0.308
"104","Werba_2023_P22","CD8_T",0.026
"105","Werba_2023_P23","CD4_T",0.106
"106","Werba_2023_P23","CD8_T",0.08
"107","Werba_2023_P24","CD4_T",0.231
"108","Werba_2023_P24","CD8_T",0.266
"109","Werba_2023_P25","CD4_T",0.037
"110","Werba_2023_P25","CD8_T",0.375
"111","Werba_2023_P26","CD4_T",0.087
"112","Werba_2023_P26","CD8_T",0.023
