,TumorType,Arm_1p,Arm_1q,Arm_2p,Arm_2q,Arm_3p,Arm_3q,Arm_4p,Arm_4q,Arm_5p,Arm_5q,Arm_6p,Arm_6q,Arm_7p,Arm_7q,Arm_8p,Arm_8q,Arm_9p,Arm_9q,Arm_10p,Arm_10q,Arm_11p,Arm_11q,Arm_12p,Arm_12q,Arm_13q,Arm_14q,Arm_15q,Arm_16p,Arm_16q,Arm_17p,Arm_17q,Arm_18p,Arm_18q,Arm_19p,Arm_19q,Arm_20p,Arm_20q,Arm_21p,Arm_21q,Arm_22q
01BR001,BR,-0.55060819957861,1.28314421341034,0.408869359619724,0.408869359619724,0,0,0,1.16918045136098,0.903182180623759,-0.724003347715408,0,0,0.843297858161453,0.565694871298495,-0.83193224620826,0,0,0,1.27864380547673,0,-0.629834371295283,0,0,0,0,-0.512019169632094,-0.745158127493538,0,0,0,0,0.616285596852926,-0.883164034381051,0,0,0,0,1.8304055069582,1.8304055069582,0
01BR008,BR,0.360772248981271,1.64121884448276,0.346525093230993,0,0,0,0,0,0,0,0.405761541887507,0.405761541887507,0.394598606551322,0.394598606551322,1.20672305774559,1.20672305774559,0.608123860969036,0,0.661088972991318,0.661088972991318,0,0,1.41751148044705,0,0,0,0,0,0,0,0,-0.392602342060701,-0.392602342060701,0,0,0,0.42240289763666,0,0,0
01BR010,BR,0,1.09542302409466,0.670257930788625,0.670257930788625,0,0,0.368342351955483,0.368342351955483,0,0,0,0,0.633655275885106,0,0.706273985929267,0.706273985929267,0,0,0,0,0,0,0,0,0.673048914045145,0,-1.32827096027188,0,0,-1.24083267426939,0,0,0,0,0,0.644981581172895,0.644981581172895,0.661864115065026,0.661864115065026,0
01BR015,BR,0.645361166547563,0.645361166547563,-0.699735313175456,-0.699735313175456,0,0,0,0,0,0,0.646765937605276,0,0,0,-1.74227591471248,0.614355541131188,-0.458395428585731,-0.458395428585731,0,0,0,0,0,0,0.551749923575481,0,-0.705828268178574,0,0,-0.681534245713666,-0.681534245713666,-0.362615147459014,-0.362615147459014,-0.545660331465042,-0.545660331465042,-0.645474932812,-0.645474932812,-0.590257409072101,-0.590257409072101,-0.677505256328413
01BR017,BR,0,0,0,0,-1.11156984139554,0.10356892253263,-2.18384598870391,-2.18384598870391,0.623541219419291,0,0,-0.692169851570202,0,0,1.38277367280496,1.60112512637722,-0.97164000899273,0,0,0,0,0,-0.849031252805956,-0.849031252805956,0,-0.97164000899273,0,-1.00734282025058,0,-1.19831693585298,0,0,0,0,0,0,0,0.626546580267559,0.626546580267559,-1.02913548257941
01BR018,BR,0,0.565621181936024,0,0,0,0,0,0,0,0,0.546297291011509,0.546297291011509,0,0,0,0,0.225953942136222,0.225953942136222,0,0,-1.08608434145844,-1.08608434145844,0,0,0.49534988433306,0,-0.185072975389465,0,0,0,0,0,0,0,0.514900572202359,0,0,0,0,0.47116434987395
01BR020,BR,-0.517389087478779,-0.517389087478779,0.603178968287734,0.603178968287734,0,0,-0.541494947097463,0,0,0,0.508614822002649,0.508614822002649,0,0,-0.665337849374049,0.312520649943144,0,0,0.506207374398339,0,-0.571438773275415,0,0.455491689230763,0,0,-0.558582959918652,0,0,0,0.679064133930178,0.679064133930178,0.867358476597057,0.867358476597057,-0.560009689429199,-0.560009689429199,0.734403941199861,0.734403941199861,1.04892134321282,1.04892134321282,-0.561436841218118
01BR023,BR,0,0,0,0,0,0,0,0,0,0,0,-1.02891511744624,0,0,2.21281861150071,2.21281861150071,0,0,0,0,0,0,0,0,-1.03986057782673,0,0,0,0,0,0.842889077008609,0,-1.01982242217849,0,0,0,0,-0.80369001941768,0,0
01BR026,BR,0,0.732077026579299,-0.313676233279217,-0.313676233279217,0.347025243660446,0.347025243660446,0,0,0,-1.02556642221491,0.025580830656742,-0.911448736270944,-0.301893105353794,-0.301893105353794,0,2.50907962277177,0,0,-0.349413168605685,-0.349413168605685,0.338066341892163,0,-0.413412922349877,-0.413412922349877,-0.891765517014043,-1.06375087430381,0,0.437137667633994,0.437137667633994,0,0,0.260635209532132,0.260635209532132,-0.540929912013521,-0.540929912013521,0,0,0.584366459881103,0.584366459881103,0
01BR027,BR,0,0,0.256792868470244,0,0,0.399385099706445,0,0,0.574483461468237,-0.739383012358213,0,0,0,0,1.20287399502305,1.20287399502305,0,0,1.47013686470693,-0.723873460078949,0,0,2.34636207030208,2.34636207030208,0.27117198337048,0,-0.492491496010093,0,0,-0.68103610804729,0,-0.534596651740696,-0.534596651740696,0,0,-0.662935392098674,0,-3.32192809488736,0,0
01BR030,BR,0,0,-0.233011215939132,-0.233011215939132,0.363290418907276,0.363290418907276,0.225073541263698,0.225073541263698,0.21237957629622,0.21237957629622,0,0,0,0,-0.823989939476667,0.737121405890726,-0.336358092658938,-0.336358092658938,-0.267022380963647,-0.267022380963647,-0.282037306408052,-0.282037306408052,0,0,0.195984584968084,0.194157714279426,-0.349561735884486,0.967323376232149,-0.916825177903957,0.51776876372759,0.51776876372759,0,0,0,0,0,0,-0.230899521627907,-0.230899521627907,-0.476130235420449
01BR031,BR,0.879029796732106,0.879029796732106,0,0,0.961676886088929,0.961676886088929,0,0,0.730056893635564,-0.291003528868995,0.867517618886831,0.867517618886831,-0.269261442048199,1.83511927429675,0.98423231269219,0.98423231269219,0.847303339503372,-0.308914125230323,0.896245877296018,0.896245877296018,-0.292988145459466,0.786126662224178,0.466654488637507,0.466654488637507,-0.300940198470669,-0.298950141611881,-0.334982666217776,0.837163347631252,0.837163347631252,0.850196436218086,-0.24377236367258,0.621811119816277,-0.298950141611881,-0.369434528691856,-0.369434528691856,-0.294974117914746,-0.294974117914746,0.372174569566476,0.372174569566476,0
01BR032,BR,1.50140250046985,0,0,0,0,0,0.191246014593924,0.191246014593924,0.2408529518238,0.2408529518238,0,0,0,0,0,0,-2.52806433977258,-2.52806433977258,0,0,0,0,0,0,-2.27579955818829,0,0,-0.257397576884022,-0.257397576884022,-0.278189118351332,-0.278189118351332,0,0,-0.320247452887215,-0.320247452887215,0,0,-1.29687914050932,0,-0.269853825434225
01BR033,BR,0,0,0,0,0,0,-0.260934062685846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06591066896777,0,0,-1.11614630808866,0,0,-1.23213156607564,-1.23213156607564,0,0,0,0,-1.22443824536423,0,0
01BR040,BR,0,0.798854316077594,0,0,0,0,0,0,0.0387834506834353,-0.587718965686706,0.632041111131352,0.632041111131352,0,0,1.19807998387423,1.19807998387423,-0.703768103949427,-0.703768103949427,0.910763962685281,0,0.31120724777638,0,1.24463338912329,0,0,-0.669881264038508,-0.71233581477574,0,0,-1.14608867121578,-1.14608867121578,-0.512793113614554,-0.512793113614554,0.388525514414504,0.388525514414504,0.8395011846314,0.8395011846314,0,0,-1.1030260131916
