Tumor line,T cell category,% CD45+ / live,% cDC1 (CD103+ DCs) / CD45+,% Neutrophils(/gMDSC) / CD45+,% Macrophages (F4/80+) / CD45+,% Monocytes (moMDSC) / CD45+,% NK / CD45+,% T cells / CD45+,% CD4 /  CD45+,% CD8+ / CD45+,% cDC1 (CD103+ DCs) / live,% Neutrophils(/gMDSC) / live,% Macrophages (F4/80+) / live,% Monocytes (moMDSC) / live,% NK / live,% T cells / live,% CD4 / live,% CD8+ / live
6419c5,Low,4.8,1.4,39.7,12.6,0.99,3.74,2.41,1.38,0.45,0.067,1.91,0.61,0.048,0.18,0.12,0.067,0.022
6419c5,Low,3.21,1.39,29.5,10.4,0.89,2.56,3.67,2.25,0.68,0.045,0.95,0.33,0.029,0.082,0.12,0.072,0.022
6419c5,Low,3.36,1.68,30.7,13.5,1.22,3.99,2.66,1.49,0.6,0.056,1.03,0.45,0.041,0.13,0.089,0.05,0.02
2838c3,High,6.87,3.03,34.2,10.4,0.89,4.23,9.9,4.96,3.84,0.21,2.35,0.71,0.061,0.29,0.68,0.34,0.26
2838c3,High,3.9,3,34.5,5.39,0.61,4.63,11.5,4.78,4.72,0.12,1.35,0.21,0.024,0.18,0.45,0.19,0.18
2838c3,High,2.62,1.6,27.8,10.2,0.21,5.32,8.06,3.31,3.1,0.042,0.73,0.27,5.42E-03,0.14,0.21,0.087,0.081
2838c3,High,3.14,2.54,35.1,8.21,0.59,6.39,6.1,3.47,1.74,0.08,1.1,0.26,0.019,0.2,0.19,0.11,0.055
6694c2,Low,5.92,4.17,15.5,20.5,1.16,5.52,3.85,2.3,0.39,0.25,0.92,1.21,0.069,0.33,0.23,0.14,0.023
6694c2,Low,1.91,2.09,26.9,8.19,0.82,5.01,5.46,0.95,2.35,0.04,0.51,0.16,0.016,0.096,0.1,0.018,0.045
6694c2,Low,5.11,2.07,30.4,13.4,0.95,5.71,5.46,2.81,1.36,0.11,1.55,0.69,0.049,0.29,0.28,0.14,0.07
6694c2,Low,3.1,1.94,31.8,10.3,1.12,7.28,4.03,2.52,0.66,0.06,0.99,0.32,0.035,0.23,0.13,0.078,0.02
6422c5,Intermediate,2.76,1.77,24.1,15.1,0.37,0.65,4.77,2.76,0.99,0.049,0.66,0.42,0.01,0.018,0.13,0.076,0.027
6422c5,Intermediate,4.07,2.05,29.3,15.8,0.97,0.41,4.5,2.15,0.8,0.083,1.19,0.64,0.039,0.017,0.18,0.088,0.032
6422c5,Intermediate,2.42,1.08,21.2,12.5,0.34,0.44,7.78,3,2.81,0.026,0.51,0.3,8.35E-03,0.011,0.19,0.073,0.068
6422c5,Intermediate,2.84,1.06,24.1,14.6,0.77,0.44,4.8,2.24,1.5,0.03,0.68,0.41,0.022,0.012,0.14,0.063,0.043
6556c3,Low,2.66,1.66,36.7,9.42,1.94,4.92,3.88,2.91,0.9,0.044,0.98,0.25,0.052,0.13,0.1,0.077,0.024
6556c3,Low,3.27,1.46,58.5,3.96,1.04,4.06,2.45,1.46,0.68,0.048,1.92,0.13,0.034,0.13,0.08,0.048,0.022
6556c3,Low,6.68,0.71,72.2,4.1,1.3,1.81,0.73,0.49,0.16,0.048,4.82,0.27,0.087,0.12,0.049,0.033,0.011
6556c3,Low,0.91,0.9,50.1,1.21,0.45,0.45,8.6,2.11,4.52,8.22E-03,0.46,0.011,4.11E-03,4.11E-03,0.078,0.019,0.041
2699c4,Low,3.2,0.79,69.8,3.09,0.93,1.81,3.22,2.34,0.71,0.025,2.24,0.099,0.03,0.058,0.1,0.075,0.023
2699c4,Low,4.51,0.83,51.1,2.48,2.2,2.11,1.25,0.7,0.37,0.037,2.3,0.11,0.099,0.095,0.057,0.032,0.017
2699c4,Low,2.65,1.83,31.3,6.07,6.24,7.22,3.15,2.46,0.46,0.048,0.83,0.16,0.17,0.19,0.083,0.065,0.012
6421c2,High,6.66,4.44,23.8,8.9,1.03,5.67,13.1,4.73,5.34,0.3,1.59,0.59,0.068,0.38,0.87,0.32,0.36
6421c2,High,7.12,4.31,22.7,7.72,1.15,6.89,12.7,5.21,3.96,0.31,1.62,0.55,0.082,0.49,0.91,0.37,0.28
