"","Sample","CellType","Proportion"
"1","Lin_2020_MET01","M1",0
"2","Lin_2020_MET01","M2",0.25
"3","Lin_2020_MET02","M1",0
"4","Lin_2020_MET02","M2",0.13
"5","Lin_2020_MET04","M1",0
"6","Lin_2020_MET04","M2",0.096
"7","Lin_2020_MET05","M1",0.004
"8","Lin_2020_MET05","M2",0.031
"9","Lin_2020_MET06","M1",0.039
"10","Lin_2020_MET06","M2",0.034
"11","Lin_2020_P01","M1",0
"12","Lin_2020_P01","M2",0
"13","Lin_2020_P03","M1",0
"14","Lin_2020_P03","M2",0.042
"15","Lin_2020_P04","M1",0
"16","Lin_2020_P04","M2",0
"17","Lin_2020_P06","M1",0.115
"18","Lin_2020_P06","M2",0.038
"19","Lin_2020_P07","M1",0.186
"20","Lin_2020_P07","M2",0.125
"21","Lin_2020_P08","M1",0.057
"22","Lin_2020_P08","M2",0.143
"23","Lin_2020_P09","M1",0.048
"24","Lin_2020_P09","M2",0.174
"25","Lin_2020_P10","M1",0.067
"26","Lin_2020_P10","M2",0.092
"27","Steele_2020_PDAC_TISSUE_10","M1",0.073
"28","Steele_2020_PDAC_TISSUE_10","M2",0.007
"29","Steele_2020_PDAC_TISSUE_11A","M1",0.184
"30","Steele_2020_PDAC_TISSUE_11A","M2",0.083
"31","Steele_2020_PDAC_TISSUE_11B","M1",0.028
"32","Steele_2020_PDAC_TISSUE_11B","M2",0.014
"33","Steele_2020_PDAC_TISSUE_13","M1",0.154
"34","Steele_2020_PDAC_TISSUE_13","M2",0.178
"35","Steele_2020_PDAC_TISSUE_15","M1",0.029
"36","Steele_2020_PDAC_TISSUE_15","M2",0.042
"37","Steele_2020_PDAC_TISSUE_16","M1",0.024
"38","Steele_2020_PDAC_TISSUE_16","M2",0.095
"39","Steele_2020_PDAC_TISSUE_2","M1",0.056
"40","Steele_2020_PDAC_TISSUE_2","M2",0.192
"41","Steele_2020_PDAC_TISSUE_3","M1",0.008
"42","Steele_2020_PDAC_TISSUE_3","M2",0.001
"43","Steele_2020_PDAC_TISSUE_6","M1",0.019
"44","Steele_2020_PDAC_TISSUE_6","M2",0.004
"45","T1","M1",0.007
"46","T1","M2",0.067
"47","T11","M1",0.12
"48","T11","M2",0.136
"49","T14","M1",0.086
"50","T14","M2",0.121
"51","T15","M1",0.012
"52","T15","M2",0.031
"53","T16","M1",0.07
"54","T16","M2",0.055
"55","T17","M1",0.035
"56","T17","M2",0.205
"57","T18","M1",0.111
"58","T18","M2",0.074
"59","T19","M1",0.087
"60","T19","M2",0.071
"61","T2","M1",0.013
"62","T2","M2",0.007
"63","T20","M1",0.107
"64","T20","M2",0.107
"65","T21","M1",0.044
"66","T21","M2",0.144
"67","T22","M1",0.015
"68","T22","M2",0.052
"69","T24","M1",0.059
"70","T24","M2",0.012
"71","T3","M1",0.06
"72","T3","M2",0.148
"73","T6","M1",0.135
"74","T6","M2",0.042
"75","T7","M1",0.077
"76","T7","M2",0.077
"77","T8","M1",0.116
"78","T8","M2",0.062
"79","T9","M1",0.124
"80","T9","M2",0.14
"81","Werba_2023_P01","M1",0.072
"82","Werba_2023_P01","M2",0.087
"83","Werba_2023_P02","M1",0.017
"84","Werba_2023_P02","M2",0.005
"85","Werba_2023_P04","M1",0.009
"86","Werba_2023_P04","M2",0.038
"87","Werba_2023_P05","M1",0.035
"88","Werba_2023_P05","M2",0.069
"89","Werba_2023_P07","M1",0.048
"90","Werba_2023_P07","M2",0.058
"91","Werba_2023_P09","M1",0.02
"92","Werba_2023_P09","M2",0.014
"93","Werba_2023_P11","M1",0.162
"94","Werba_2023_P11","M2",0.131
"95","Werba_2023_P13","M1",0.015
"96","Werba_2023_P13","M2",0.003
"97","Werba_2023_P16","M1",0.035
"98","Werba_2023_P16","M2",0.01
"99","Werba_2023_P20","M1",0.007
"100","Werba_2023_P20","M2",0.001
"101","Werba_2023_P21","M1",0.024
"102","Werba_2023_P21","M2",0.021
"103","Werba_2023_P22","M1",0.001
"104","Werba_2023_P22","M2",0
"105","Werba_2023_P23","M1",0.04
"106","Werba_2023_P23","M2",0.111
"107","Werba_2023_P24","M1",0.009
"108","Werba_2023_P24","M2",0.004
"109","Werba_2023_P25","M1",0.011
"110","Werba_2023_P25","M2",0.023
"111","Werba_2023_P26","M1",0.046
"112","Werba_2023_P26","M2",0.006
