"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"1","1p36.33",-0.240511452633257,-1.75538183642266,0.0825966183248969,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"2","1p36.32",-0.249415176673915,-1.74997132102454,0.0835315233339847,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"3","1p36.31",-0.258803654713,-1.77275152229137,0.0796533599755752,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"4","1p36.23",-0.253886226903225,-1.66948773220287,0.0984956820868649,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"5","1p36.22",-0.242150172793065,-1.41048298159498,0.16184410892427,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"6","1p36.21",-0.253172376262705,-1.38913744856274,0.168218581935515,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"7","1p36.13",-0.232313310673482,-1.22075097161395,0.225368950145285,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"8","1p36.12",-0.211407120932647,-1.08821741284006,0.279404699682156,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"9","1p36.11",-0.188802949802058,-0.923737896540324,0.358092794361674,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"10","1p35.3",-0.213943662518502,-0.933009075657946,0.353311614609286,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"11","1p35.2",-0.23179589868492,-1.00549188578206,0.317355792783266,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"12","1p35.1",-0.235295681819649,-1.04227599610308,0.300075432898877,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"13","1p34.3",-0.205538649515294,-0.998819305061792,0.320560152394839,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"14","1p34.2",-0.179417996255539,-0.986794173546163,0.326389063053423,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"15","1p34.1",-0.148917421730806,-0.895426358823117,0.372947844135145,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"16","1p33",-0.13958548931669,-0.826235952095512,0.410855266384423,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"17","1p32.3",-0.058499713798237,-0.324628307743587,0.746215738326132,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"18","1p32.1",0.0704689600932042,0.382064086456654,0.703314495272371,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"19","1p31.3",0.117743389259222,0.593930347696492,0.554048635617691,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"20","1p31.1",0.0752198394286816,0.345340492236338,0.730644246966391,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"21","1p22.3",0.0397469345306137,0.175717940164375,1,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"22","1p22.2",-0.00206138494210654,-0.00919086630599309,0.99268719522887,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"23","1p22.1",-0.0121955064904033,-0.0532075836306842,0.95768443970607,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"24","1p21.3",-0.0248410665034274,-0.102288570863316,0.918755187334832,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"25","1p21.2",-0.0296048250127374,-0.114591118415214,0.909024481389171,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
