"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"1","1p36.33",-0.320121851643298,-2.34947288674935,0.0209630847090501,"con","ALL","1","p","1p",-0.341256355000125,1,"LUAD","B_cell"
"2","1p36.32",-0.33248758583363,-2.34646945015764,0.0211227936216697,"con","ALL","1","p","1p",-0.341256355000125,1,"LUAD","B_cell"
"3","1p36.31",-0.343782667740097,-2.3689912215389,0.0199510098406108,"con","ALL","1","p","1p",-0.341256355000125,1,"LUAD","B_cell"
"4","1p36.23",-0.345643571553032,-2.29225078785445,0.0241970129709055,"con","ALL","1","p","1p",-0.313834889072208,1,"LUAD","B_cell"
"5","1p36.22",-0.347305094181974,-2.03591696266187,0.0446660607410976,"con","ALL","1","p","1p",-0.310913425055388,1,"LUAD","B_cell"
"6","1p36.21",-0.362261887157337,-1.99518837677488,0.0490133977277442,"con","ALL","1","p","1p",-0.301775886282415,1,"LUAD","B_cell"
"7","1p36.13",-0.347991986344766,-1.83413781533341,0.0699017227754289,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"8","1p36.12",-0.329690579941034,-1.69954120225863,0.0926332732722414,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"9","1p36.11",-0.317896928918145,-1.55934692748621,0.12238545163549,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"10","1p35.3",-0.372258509961139,-1.64300858603893,0.103832253174199,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"11","1p35.2",-0.393492926201678,-1.73329839504325,0.0864298051805377,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"12","1p35.1",-0.390888899855976,-1.75559702408978,0.0825222193123543,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"13","1p34.3",-0.336276759993864,-1.64096887106493,0.104255920740489,"con","ALL","1","p","1p",-0.232704900145023,1,"LUAD","B_cell"
"14","1p34.2",-0.283325824558249,-1.55087009555725,0.124403831515458,"con","ALL","1","p","1p",-0.232670803941469,1,"LUAD","B_cell"
"15","1p34.1",-0.229818175790107,-1.36144131408201,0.176735719356989,"con","ALL","1","p","1p",-0.172289849318277,1,"LUAD","B_cell"
"16","1p33",-0.216575986535153,-1.25890725877165,0.21128374483917,"con","ALL","1","p","1p",-0.135610647685973,1,"LUAD","B_cell"
"17","1p32.3",-0.143158324162535,-0.778537135713361,0.438272141664948,"con","ALL","1","p","1p",-0.0105796129656933,1,"LUAD","B_cell"
"18","1p32.1",-0.0192670628060545,-0.101991754687554,0.918987623407777,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"19","1p31.3",0.0321937605705006,0.157846624510167,0.874927390789512,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"20","1p31.1",0.00359877986358084,0.0160059153426399,0.987264712979923,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"21","1p22.3",0.00493904967335233,0.0210546180822811,1,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"22","1p22.2",-0.0109476116252441,-0.0470107748179751,0.962607656963492,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"23","1p22.1",0.00495668381993097,0.020832550333821,0.983424842999748,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"24","1p21.3",0.00703392478483932,0.0279206300319651,0.977786594773175,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"25","1p21.2",0.0106534765897653,0.0397680747763746,0.968365147217041,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"26","1p13.3",-0.16196030746164,-0.441969537272912,1,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"27","1p13.2",-0.488059233429242,-1.15526825960705,1,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"28","1p13.1",-0.471224317902474,-1.37377442407697,0.172886434999748,"con","ALL","1","p","1p",-0.177388529964645,1,"LUAD","B_cell"
"29","1p12",-0.449739026547201,-1.49931383489304,0.137253570556269,"con","ALL","1","p","1p",-0.22793801367251,1,"LUAD","B_cell"
"30","1q21.1",-0.417121110479459,-1.57829218197244,0.117968529209664,"con","ALL","1","q","1q",-0.232704900145023,1,"LUAD","B_cell"
"31","1q21.2",-0.366668781210458,-1.75937955140153,0.081874038354987,"con","ALL","1","q","1q",-0.232704900145023,1,"LUAD","B_cell"
"32","1q21.3",-0.260316443868069,-2.01509108072951,0.046845845859964,"con","ALL","1","q","1q",-0.306610408344636,1,"LUAD","B_cell"
"33","1q22",-0.207937639598785,-1.99418685727904,0.0491246958298757,"con","ALL","1","q","1q",-0.301775886282415,1,"LUAD","B_cell"
"34","1q23.1",-0.192670703728662,-1.80156713335888,0.0749252769473467,"con","ALL","1","q","1q",-0.232704900145023,1,"LUAD","B_cell"
"35","1q23.2",-0.186739241110379,-1.72390620787911,0.0881205422409364,"con","ALL","1","q","1q",-0.232704900145023,1,"LUAD","B_cell"
"36","1q23.3",-0.184421271653268,-1.60904002268086,0.111071505654323,"con","ALL","1","q","1q",-0.232704900145023,1,"LUAD","B_cell"
"37","1q24.1",-0.17265029976396,-1.43067132138759,0.155949415815471,"con","ALL","1","q","1q",-0.201123094025707,1,"LUAD","B_cell"
"38","1q24.2",-0.166286175384868,-1.34609590896917,0.181615385271312,"con","ALL","1","q","1q",-0.170426528082127,1,"LUAD","B_cell"
"39","1q24.3",-0.157030707875764,-1.24568633195868,0.216077335102421,"con","ALL","1","q","1q",-0.13047450703282,1,"LUAD","B_cell"
"40","1q25.1",-0.155759679344588,-1.20744292618312,0.230390589768224,"con","ALL","1","q","1q",-0.117951444021698,1,"LUAD","B_cell"
"41","1q25.2",-0.159961701816632,-1.23700214622413,0.219269035731168,"con","ALL","1","q","1q",-0.13047450703282,1,"LUAD","B_cell"
"42","1q25.3",-0.169378252081063,-1.30323226446348,0.195783292036675,"con","ALL","1","q","1q",-0.146236705196483,1,"LUAD","B_cell"
"43","1q31.1",-0.177467091563527,-1.35967587445092,0.17729200167343,"con","ALL","1","q","1q",-0.172289849318277,1,"LUAD","B_cell"
"44","1q31.2",-0.183163436021237,-1.40903937259839,0.162231522858456,"con","ALL","1","q","1q",-0.190088526168107,1,"LUAD","B_cell"
"45","1q32.1",-0.186503585935428,-1.46476177319866,0.146432306621911,"con","ALL","1","q","1q",-0.21597139726463,1,"LUAD","B_cell"
"46","1q32.2",-0.19049213137023,-1.47366879370306,0.144021675991546,"con","ALL","1","q","1q",-0.216793641566678,1,"LUAD","B_cell"
"47","1q32.3",-0.185251425975563,-1.38155740850476,0.170490288870393,"con","ALL","1","q","1q",-0.180505421740794,1,"LUAD","B_cell"
"48","1q41",-0.16169613667964,-1.17244685076541,0.244077868614182,"con","ALL","1","q","1q",-0.105332597749384,1,"LUAD","B_cell"
"49","1q42.11",-0.153598884780745,-1.09689554242917,0.275581244912175,"con","ALL","1","q","1q",-0.0787959251784185,1,"LUAD","B_cell"
"50","1q42.12",-0.134058530908543,-0.937907132201759,0.350774803364723,"con","ALL","1","q","1q",-0.0380389516696883,1,"LUAD","B_cell"
"51","1q42.13",-0.114755500391493,-0.778872364081741,0.438075620942758,"con","ALL","1","q","1q",-0.0105796129656933,1,"LUAD","B_cell"
"52","1q42.2",-0.0950282532284355,-0.633350501893737,0.528093356700616,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"53","1q42.3",-0.092008915185044,-0.614295303188687,0.540553013663671,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"54","1q43",-0.105477881197164,-0.703276485181922,0.483678918276435,"con","ALL","1","q","1q",-0.00596291459711092,1,"LUAD","B_cell"
"55","1q44",-0.110755193799036,-0.745710796139231,0.457764054512071,"con","ALL","1","q","1q",-0.00867757010616076,1,"LUAD","B_cell"
"56","2p25.3",0.52057133057497,2.05613077399713,0.0426341003420663,"con","ALL","2","p","2p",0.310913425055388,1,"LUAD","B_cell"
"57","2p25.1",0.632236723469685,2.23991053296523,0.027532059499751,"con","ALL","2","p","2p",0.313834889072208,1,"LUAD","B_cell"
"58","2p24.1",0.805674944867582,2.60974842685425,0.0105939638979369,"con","ALL","2","p","2p",0.401658479951559,1,"LUAD","B_cell"
"59","2p23.3",0.975342967354742,2.82305024806285,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"60","2p23.2",1.05702593335022,2.8641760666194,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"61","2p22.3",1.06560233128195,2.92961209633554,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"62","2p22.2",0.999250472943301,2.92678866798509,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"63","2p22.1",0.904393000163217,2.85979809013691,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"64","2p21",0.723722045382696,2.41935893701517,1,"con","ALL","2","p","2p",0,-1,"LUAD","B_cell"
"65","2p16.2",0.677042553197677,2.47082584616701,1,"con","ALL","2","p","2p",0,-1,"LUAD","B_cell"
"66","2p16.1",0.673302113247656,2.53315431757615,1,"con","ALL","2","p","2p",0,-1,"LUAD","B_cell"
"67","2p15",0.635425347537095,2.48104896660153,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"68","2p14",0.585765592102934,2.26444089340236,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"69","2p13.3",0.56425942217845,2.1599380341568,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"70","2p13.2",0.555100837515576,2.07473354687716,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"71","2p13.1",0.585112682334108,2.09466680978201,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"72","2p12",0.611774676219299,2.09924663261801,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"73","2p11.2",0.575181566894415,1.94264234707831,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"74","2q11.1",0.564191202555903,1.87153779231416,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"75","2q11.2",0.523387003887524,1.63438544392709,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"76","2q12.2",0.448907445187976,1.31003760885973,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"77","2q12.3",0.441229654628237,1.27799860031175,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"78","2q13",0.449771358690413,1.29202845383865,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"79","2q14.1",0.438461663507105,1.2432445765004,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"80","2q14.2",0.484222182969434,1.35214387432036,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"81","2q14.3",0.43061484704732,1.20863320527516,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
