"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"1","1p36.33",-0.253844546280863,-1.72944208455314,0.087158417847476,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"2","1p36.32",-0.264614205301942,-1.73340419041743,0.086448542200011,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"3","1p36.31",-0.275451695206557,-1.76175540991778,0.0815063827742776,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"4","1p36.23",-0.273619553043932,-1.68070894374398,0.0962871134454575,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"5","1p36.22",-0.267770289260365,-1.45773463696459,0.148394365627842,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"6","1p36.21",-0.280938191047229,-1.44078093547949,0.153116630223948,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"7","1p36.13",-0.26074906742544,-1.28069189101119,0.203592490786068,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"8","1p36.12",-0.239595438781808,-1.15274170713065,0.252068952843166,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"9","1p36.11",-0.215111315292919,-0.98353309975158,0.327981791565611,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"10","1p35.3",-0.242606769727812,-0.988685608255989,0.325467620079274,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"11","1p35.2",-0.260820159002987,-1.05726034614335,0.293222389566178,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"12","1p35.1",-0.262445168050694,-1.08628528910932,0.280253710316332,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"13","1p34.3",-0.228054382778027,-1.03543503314792,0.303239945113123,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"14","1p34.2",-0.196473899167824,-1.00945442460957,0.315463010448301,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"15","1p34.1",-0.162726710764409,-0.91398025243011,0.363169332220861,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"16","1p33",-0.152256413174072,-0.841811676402746,0.40212469067533,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"17","1p32.3",-0.0717209051504529,-0.371766998967292,0.710940186099734,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"18","1p32.1",0.057593566046383,0.291526944897285,0.771319202986474,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"19","1p31.3",0.106364165466872,0.500797880921934,0.617735944494926,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"20","1p31.1",0.0622387993702558,0.266792583178812,0.790239205592583,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"21","1p22.3",0.0243732772099515,0.100621239885467,1,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"22","1p22.2",-0.0226891097737473,-0.0944820852654715,0.924936248159053,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"23","1p22.1",-0.0298137115898214,-0.121487570766981,0.903575696791354,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"24","1p21.3",-0.0415394954159102,-0.15975988903446,0.873428224363685,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"25","1p21.2",-0.0451344595818042,-0.1631708540644,0.870749750342044,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"26","1p13.3",-0.197914866684142,-0.523879241854115,1,"con","ALL","1","p","1p",0,-1,"LUAD","B_cell"
"27","1p13.2",-0.376094192005708,-0.857307273343323,1,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"28","1p13.1",-0.310847063643849,-0.862527232910726,0.390689977740869,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"29","1p12",-0.286620060814427,-0.902566830707105,0.36916511534789,"con","ALL","1","p","1p",0,1,"LUAD","B_cell"
"30","1q21.1",-0.265412112565662,-0.945044916917134,0.347166211477688,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"31","1q21.2",-0.239349855451099,-1.07422512064677,0.285593431923191,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"32","1q21.3",-0.167785567169529,-1.19625561628066,0.234738822152893,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"33","1q22",-0.125983031010729,-1.10077342989309,0.273930685634691,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"34","1q23.1",-0.102228461139739,-0.867406002679087,0.388026461441514,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"35","1q23.2",-0.0930734521095217,-0.77917640414748,0.437919838746503,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"36","1q23.3",-0.0867734963080821,-0.689545134452208,0.49225436003064,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"37","1q24.1",-0.0728336863503513,-0.553131482199869,0.581544781994615,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"38","1q24.2",-0.0660273103638393,-0.491493796284239,0.624273763985279,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"39","1q24.3",-0.0601334652372814,-0.441510420553045,0.659902468554022,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
