"","Arm","Coefficients","T_val","P_val","Event","-signedlog(P.adj)","cnv_status","TumorType"
"1","Arm1p",1.7629981375814,0.256572977585089,0.798220420134825,"ALL",0.0532950336030414,-1,"ACC"
"2","Arm1q",-9.30802346104321,-1.20432859370679,0.232300515739564,"ALL",-0.401377210996206,-1,"ACC"
"3","Arm2p",-9.35297932815314,-2.00113861978337,0.0490449916747126,"ALL",-0.688969154491083,-1,"ACC"
"4","Arm2q",-17.4849995184293,-2.11228068668797,0.0380370305375508,"ALL",-0.688969154491083,-1,"ACC"
"5","Arm3p",8.19583774445619,1.38498177681633,0.17021934430329,"ALL",0.467176109755017,1,"ACC"
"6","Arm3q",13.5524572852294,2.55427291869881,0.0126976631126966,"ALL",0.982462347183649,1,"ACC"
"7","Arm4p",-1.88453877778898,-0.414016832699028,0.680059340058273,"ALL",-0.0731832734879802,1,"ACC"
"8","Arm4q",1.4264385846974,0.295440184515143,0.768485031004794,"ALL",0.0532950336030414,1,"ACC"
"9","Arm5p",2.44368897338268,0.63627017518351,0.526563508835814,"ALL",0.159521319021379,1,"ACC"
"10","Arm5q",0.0583834302360581,0.0149463239747657,0.988115226787894,"ALL",0.00519240820564208,1,"ACC"
"11","Arm6p",-3.31016165001221,-0.614817665518127,0.540561116063092,"ALL",-0.159521319021379,1,"ACC"
"12","Arm6q",0.353521428183978,0.0635642419495475,0.949488595331081,"ALL",0.00792243787488339,-1,"ACC"
"13","Arm7p",3.6396888535664,0.75384668133888,0.45333333163114,"ALL",0.180929427952043,1,"ACC"
"14","Arm7q",6.36515321919041,1.35825096489395,0.178510704833303,"ALL",0.467176109755017,1,"ACC"
"15","Arm8p",4.87962584218827,1.3441544137933,0.183004898366143,"ALL",0.467176109755017,1,"ACC"
"16","Arm8q",5.67624877186593,1.54881659751774,0.125692206381025,"ALL",0.467176109755017,1,"ACC"
"17","Arm9p",-0.243528303617091,-0.0528750511327946,0.957973943779438,"ALL",-0.00792243787488339,1,"ACC"
"18","Arm9q",-5.50010435947264,-1.2430263386407,0.217782231223087,"ALL",-0.410921536369211,1,"ACC"
"19","Arm10p",-9.8406797739353,-2.0264694113784,0.0463208325021973,"ALL",-0.688969154491083,1,"ACC"
"20","Arm10q",-8.02653284876011,-1.45215145039465,0.150686418996827,"ALL",-0.467176109755017,1,"ACC"
"21","Arm11p",4.73950934067372,0.732263503403124,0.466320720390669,"ALL",0.180929427952043,-1,"ACC"
"22","Arm11q",1.69224971102003,0.266439899228383,0.790641463067517,"ALL",0.0532950336030414,-1,"ACC"
"23","Arm12p",8.57932659619686,1.95046123445902,0.0549085119109281,"ALL",0.688969154491083,1,"ACC"
"24","Arm12q",4.55065638183179,1.11892121662307,0.266792726487739,"ALL",0.358982166622701,1,"ACC"
"25","Arm13q",-0.898988886862526,-0.19476137712181,0.846113483889257,"ALL",-0.0395711237592696,-1,"ACC"
"26","Arm14q",-14.6717876760953,-3.60381035990341,0.000565507047625989,"ALL",-2.11189937631404,1,"ACC"
"27","Arm15q",-7.98192814120568,-1.44581868585978,0.152450126452985,"ALL",-0.467176109755017,-1,"ACC"
"28","Arm16p",4.68256583327967,0.982249306741656,0.329177627590671,"ALL",0.284759180336883,1,"ACC"
"29","Arm16q",10.3021340972537,2.45945355961753,0.0162512062761547,"ALL",0.954481790833065,1,"ACC"
"30","Arm17p",12.2504252324016,1.9633996906424,0.0533574544350949,"ALL",0.688969154491083,-1,"ACC"
"31","Arm17q",12.4094098377528,1.83127994712434,0.0710838751099714,"ALL",0.649388400412699,-1,"ACC"
"32","Arm18p",-4.23199381376595,-0.694546584535509,0.489514439662998,"ALL",-0.174571890883308,-1,"ACC"
"33","Arm18q",-8.92013994989675,-1.39849297131078,0.166142071001227,"ALL",-0.467176109755017,-1,"ACC"
"34","Arm19p",-16.1101462791345,-3.32483108521521,0.00137857400631021,"ALL",-1.84984604920856,1,"ACC"
"35","Arm19q",-9.27117262604175,-1.84588500342412,0.0689085903240038,"ALL",-0.649388400412699,1,"ACC"
"36","Arm20p",12.4364747091678,3.64452770652201,0.000494783113127682,"ALL",2.11189937631404,1,"ACC"
"37","Arm20q",14.3042510434396,3.72386635571554,0.000380423588462295,"ALL",2.11189937631404,1,"ACC"
"38","Arm21q",-6.37163632821769,-1.46357474568605,0.147545154871239,"ALL",-0.467176109755017,1,"ACC"
"39","Arm22q",-1.92453578481677,-0.36097427086545,0.71914716679034,"ALL",-0.0618772865114833,-1,"ACC"
"40","ArmXp",7.0101319169134,0.856995398665565,0.394214316135757,"ALL",0.222847515537772,1,"ACC"
"41","ArmXq",14.7701879452482,1.6011106819248,0.113613138477667,"ALL",0.477915621893246,1,"ACC"
"42","Arm1p",-13.3650888823447,-0.722596766011596,0.470350972314846,"ALL",-0.205807182792046,1,"BLCA"
"43","Arm1q",-27.8219088493017,-1.89715930762991,0.0585287041571675,"ALL",-0.609249003981236,1,"BLCA"
"44","Arm2p",14.9466376654816,0.865290707198935,0.38739920171271,"ALL",0.22043169617686,1,"BLCA"
"45","Arm2q",13.4993695389213,0.743446692287961,0.457648818249432,"ALL",0.205807182792046,-1,"BLCA"
"46","Arm3p",-14.0768315050322,-1.00688620772702,0.31459968066595,"ALL",-0.22043169617686,1,"BLCA"
"47","Arm3q",10.7956286624208,0.699678936083479,0.484535542757661,"ALL",0.205807182792046,1,"BLCA"
"48","Arm4p",-29.8253100604997,-1.95996923856625,0.0506950201290794,"ALL",-0.609249003981236,-1,"BLCA"
"49","Arm4q",-32.0321986969908,-1.80033553646927,0.0725628157730261,"ALL",-0.567894701423928,-1,"BLCA"
"50","Arm5p",13.4502022481906,1.4554034279578,0.146343916696386,"ALL",0.397932728180425,1,"BLCA"
"51","Arm5q",10.6613479379207,0.929039996920417,0.353430052792133,"ALL",0.22043169617686,-1,"BLCA"
"52","Arm6p",29.0521129815688,1.88634399150174,0.0599745695044408,"ALL",0.609249003981236,-1,"BLCA"
"53","Arm6q",9.74145571495475,0.604747927630207,0.545690246417464,"ALL",0.168783891817612,-1,"BLCA"
"54","Arm7p",14.4023152878763,0.920028702897994,0.358113645783135,"ALL",0.22043169617686,1,"BLCA"
"55","Arm7q",7.21389959309785,0.43835782377472,0.661364152501065,"ALL",0.123077992618478,1,"BLCA"
"56","Arm8p",-20.9622022584416,-2.4450632210885,0.0149142709876582,"ALL",-0.991765363842129,-1,"BLCA"
