"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType"
"1","1p36.33",5.60198697238321,0.877398471161305,0.3831099448172,"con","ALL","1","p","1p",0.243538797700085,-1,"ACC"
"2","1p36.32",5.39547714398566,0.847079139875425,0.399682294463234,"con","ALL","1","p","1p",0.232312737825923,-1,"ACC"
"3","1p36.31",8.27559571714354,1.41917440498659,0.160046759195101,"con","ALL","1","p","1p",0.479853836597696,-1,"ACC"
"4","1p36.23",7.05256686344485,1.16740409061273,0.246795111169845,"con","ALL","1","p","1p",0.381663919218239,-1,"ACC"
"5","1p36.22",7.69885997025961,1.27742098525065,0.205446950079439,"con","ALL","1","p","1p",0.419104733737902,-1,"ACC"
"6","1p36.21",8.21674525508291,1.27563590357584,0.20607413276965,"con","ALL","1","p","1p",0.419104733737902,-1,"ACC"
"7","1p36.13",3.71818774053347,0.538347228712377,0.591953027243213,"con","ALL","1","p","1p",0.126878570472355,-1,"ACC"
"8","1p36.12",5.57420572969738,0.785902044721443,0.434434187909009,"con","ALL","1","p","1p",0.204166652958742,-1,"ACC"
"9","1p36.11",8.71019246283422,1.24878749453332,0.215678998026848,"con","ALL","1","p","1p",0.415955302936074,-1,"ACC"
"10","1p35.3",3.64084998054927,0.529579716017341,0.597988619074125,"con","ALL","1","p","1p",0.123830069143946,-1,"ACC"
"11","1p35.2",4.38418944238753,0.639721290886899,0.524329442624199,"con","ALL","1","p","1p",0.155547408281661,-1,"ACC"
"12","1p35.1",2.91310329187854,0.442770465622426,0.659223369132838,"con","ALL","1","p","1p",0.103292260249989,-1,"ACC"
"13","1p34.3",3.33354856774974,0.487506226233593,0.627340798333364,"con","ALL","1","p","1p",0.115705361476204,-1,"ACC"
"14","1p34.2",3.69353788403684,0.515245568201661,0.60791724133807,"con","ALL","1","p","1p",0.122776866770314,-1,"ACC"
"15","1p34.1",5.68007061680778,0.853909240060487,0.395911100942208,"con","ALL","1","p","1p",0.234847837583413,-1,"ACC"
"16","1p33",6.33647847271348,1.01274392795076,0.31448246164968,"con","ALL","1","p","1p",0.305684735293105,-1,"ACC"
"17","1p32.3",6.72697445270375,1.06949624623645,0.288322331368832,"con","ALL","1","p","1p",0.329268353675103,-1,"ACC"
"18","1p32.2",9.93394761533213,1.6931256158394,0.0946376586073504,"con","ALL","1","p","1p",0.602476846252341,-1,"ACC"
"19","1p32.1",9.88012959781931,1.68150005063944,0.0968818828460923,"con","ALL","1","p","1p",0.599788041960575,-1,"ACC"
"20","1p31.3",8.66513944798137,1.39261112726123,0.16790773005878,"con","ALL","1","p","1p",0.467384774510297,-1,"ACC"
"21","1p31.2",7.66140861925098,1.25105963558475,0.214853621755088,"con","ALL","1","p","1p",0.415955302936074,-1,"ACC"
"22","1p31.1",9.24688827181935,1.45178887435884,0.150786968138384,"con","ALL","1","p","1p",0.496226124897463,-1,"ACC"
"23","1p22.3",8.63373235024064,1.37566480972899,0.173075199847098,"con","ALL","1","p","1p",0.458574489058605,-1,"ACC"
"24","1p22.2",10.5179185700176,1.67688039015673,0.0977856460603089,"con","ALL","1","p","1p",0.599718923824102,-1,"ACC"
"25","1p22.1",10.7761563306891,1.67149262386394,0.098848347471764,"con","ALL","1","p","1p",0.598382627557078,-1,"ACC"
"26","1p21.3",9.50656776201746,1.50624275287978,0.136261901069898,"con","ALL","1","p","1p",0.526316880610659,-1,"ACC"
"27","1p21.2",7.63916691229012,1.21066273409013,0.229877299552533,"con","ALL","1","p","1p",0.400554788199489,-1,"ACC"
"28","1p21.1",7.59452413516376,1.20376574206932,0.232516734332944,"con","ALL","1","p","1p",0.398333807732606,-1,"ACC"
"29","1p13.3",7.4538135794054,1.17839696236248,0.242413847101043,"con","ALL","1","p","1p",0.387179452275071,-1,"ACC"
"30","1p13.2",3.09867664109952,0.466497029632905,0.642230215533972,"con","ALL","1","p","1p",0.110100057790075,-1,"ACC"
"31","1p13.1",-1.50089700898867,-0.229106501688165,0.819418160118785,"con","ALL","1","p","1p",-0.0392797039065193,-1,"ACC"
"32","1p12",-6.78775257542339,-1.00309134561976,0.319085628972634,"con","ALL","1","p","1p",-0.304058720859447,-1,"ACC"
"33","1q21.2",-6.53438113653285,-1.13018248555127,0.262049287523831,"con","ALL","1","q","1q",-0.360977635573886,1,"ACC"
"34","1q21.1",-5.79813476690789,-1.01197908382257,0.314845570743329,"con","ALL","1","q","1q",-0.305684735293105,-1,"ACC"
"35","1p11.2",-5.79813476690789,-1.01197908382257,0.314845570743329,"con","ALL","1","p","1p",-0.305684735293105,-1,"ACC"
"36","1q21.3",-6.79953174661668,-1.3422637635002,0.183614117838537,"con","ALL","1","q","1q",-0.446974224211344,1,"ACC"
"37","1q22",-5.21100543617748,-0.835518941221508,0.406115204337392,"con","ALL","1","q","1q",-0.22695478680289,1,"ACC"
"38","1q23.1",-11.0993795173895,-1.67306471629087,0.0985372950227533,"con","ALL","1","q","1q",-0.598382627557078,1,"ACC"
"39","1q23.2",-7.85035252749728,-1.70135455399065,0.0930749618145464,"con","ALL","1","q","1q",-0.605830666626966,1,"ACC"
"40","1q23.3",-10.481021370714,-2.03555771763168,0.0453756400549619,"con","ALL","1","q","1q",-0.720143422785363,1,"ACC"
"41","1q24.1",-3.07407389559991,-0.446087204576029,0.656836810713694,"con","ALL","1","q","1q",-0.104222538718802,-1,"ACC"
"42","1q24.2",-1.37101093939459,-0.194829444760264,0.846060387539609,"con","ALL","1","q","1q",-0.0324222966001542,-1,"ACC"
"43","1q24.3",-1.13586495838083,-0.161396730278378,0.872220781852441,"con","ALL","1","q","1q",-0.0272838534745299,-1,"ACC"
"44","1q25.1",-1.03740898018054,-0.147284914273004,0.883307691247573,"con","ALL","1","q","1q",-0.0272838534745299,-1,"ACC"
"45","1q25.2",-1.16232347984652,-0.164938794281707,0.86944189581075,"con","ALL","1","q","1q",-0.0272838534745299,-1,"ACC"
