seq.unit.id,Stanger.Lab.id
mm9.TB.SID1,O_6555c3_Tcellhigh
mm9.TB.SID2,N_6556c4_Tcellhigh
mm9.TB.SID3,L_6499c4_Tcellhigh
mm9.TB.SID4,K_6421c2_Tcellhigh
mm9.TB.SID5,J_7160c2_Tcellhigh
mm9.TB.SID6,H_6620c1_Tcellhigh
mm9.TB.SID7,G_2838c3_Tcellhigh
mm9.TB.SID8,I_7160c5_Tcellint
mm9.TB.SID9,E_6422c5_Tcellint
mm9.TB.SID10,P_6419c1_Tcelllow
mm9.TB.SID11,F_2699c4_Tcelllow
mm9.TB.SID12,M_6556c3_Tcelllow
mm9.TB.SID13,D_6422c1_Tcelllow
mm9.TB.SID14,C_6499c3_Tcelllow
mm9.TB.SID15,B_6694c2_Tcelllow
mm9.TB.SID16,A_6419c5_Tcelllow
