ID	chrom	loc.start	loc.end	num.mark	seg.mean
mm9.TB.SID10	1	0	100440362	189	-0.0144
mm9.TB.SID10	1	100992389	105280881	9	-0.2141
mm9.TB.SID10	1	105806278	108322883	6	0.134
mm9.TB.SID10	1	108800540	126542864	35	-0.1258
mm9.TB.SID10	1	127042207	145096649	38	0.0345
mm9.TB.SID10	1	145622976	149848037	9	-0.1835
mm9.TB.SID10	1	150440993	196640521	96	0.018021361
mm9.TB.SID10	2	0	178952219	353	-0.1556
mm9.TB.SID10	2	179404446	181228717	5	-0.0362
mm9.TB.SID10	3	0	159019749	308	0.4205
mm9.TB.SID10	4	0	126388561	238	-0.5077
mm9.TB.SID10	4	126870137	155120393	57	0.0513
mm9.TB.SID10	5	0	10635511	15	0.0083
mm9.TB.SID10	5	12151356	16971284	10	0.1638
mm9.TB.SID10	5	17468673	151960154	266	-0.071650766
mm9.TB.SID10	6	0	10945708	16	-0.015362326
mm9.TB.SID10	6	11516281	56417666	91	0.0905
mm9.TB.SID10	6	56889487	81707485	47	-0.0105
mm9.TB.SID10	6	82245736	129509481	97	0.0992
mm9.TB.SID10	6	130117668	132927189	5	-0.1002
mm9.TB.SID10	6	133600154	149004146	33	0.0952
mm9.TB.SID10	7	0	69580361	91	-0.1255
mm9.TB.SID10	7	70209253	152071114	169	-0.0146
mm9.TB.SID10	8	0	97589833	181	0.1883
mm9.TB.SID10	8	98108829	105672648	16	0.0181
mm9.TB.SID10	8	106131188	110048649	9	0.2452
mm9.TB.SID10	8	110520296	124848390	32	0.1193
mm9.TB.SID10	8	125302199	131123013	13	0.2321
mm9.TB.SID10	9	0	40603128	74	0.0883
mm9.TB.SID10	9	41065252	123494127	172	-0.4437
mm9.TB.SID10	10	0	129382004	255	-0.1579
mm9.TB.SID10	11	0	23709363	42	0.0732
mm9.TB.SID10	11	24184043	27826947	8	-0.1082
mm9.TB.SID10	11	28368533	121344070	196	0.0755
mm9.TB.SID10	12	0	120667841	224	-0.4799
mm9.TB.SID10	13	0	49453517	92	-0.0316
mm9.TB.SID10	13	49937715	87364230	70	-0.1162668
mm9.TB.SID10	13	87945785	119737617	65	-0.0438
mm9.TB.SID10	14	0	124602070	228	-0.4731
mm9.TB.SID10	15	0	102986140	203	0.4597
mm9.TB.SID10	16	0	97814718	192	0.1224
mm9.TB.SID10	17	0	94676235	178	0.0862
mm9.TB.SID10	18	0	44946351	85	0.072
mm9.TB.SID10	18	45479079	48427202	7	-0.0892
mm9.TB.SID10	18	48931380	90105717	86	0.0939
mm9.TB.SID10	19	0	60830384	119	0.3899
mm9.TB.SID10	20	0	1538205	270	0.548870816
mm9.TB.SID11	1	0	196640521	382	0.1061
mm9.TB.SID11	2	0	140754717	279	0.0361
mm9.TB.SID11	2	141216579	178487814	73	-0.1471
mm9.TB.SID11	2	178952219	181228717	6	-0.0167
mm9.TB.SID11	3	0	67149011	124	0.2068
mm9.TB.SID11	3	67659519	87686427	41	0.4752
mm9.TB.SID11	3	88155570	96616710	16	0.3779
mm9.TB.SID11	3	97105490	159019749	127	0.4757
mm9.TB.SID11	4	0	155120393	295	-0.2665
mm9.TB.SID11	5	0	151960154	291	-0.2326
mm9.TB.SID11	6	0	89964877	171	0.503698403
mm9.TB.SID11	6	90514004	121059181	64	0.6274
mm9.TB.SID11	6	121515480	124184179	5	0.4699
mm9.TB.SID11	6	124721946	149004146	49	0.6034
mm9.TB.SID11	7	0	152071114	260	-0.4313
mm9.TB.SID11	8	0	25263272	40	0.398484512
mm9.TB.SID11	8	25718680	131123013	211	0.314
mm9.TB.SID11	9	0	123494127	246	-0.3956
mm9.TB.SID11	10	0	129382004	255	-0.3911
mm9.TB.SID11	11	0	121344070	246	0.0284
mm9.TB.SID11	12	0	120667841	224	0.3934
mm9.TB.SID11	13	0	38263259	68	0.395
