"Gene","Chromosome","Arm","Cytoband","Start","ChrArm"
"DDX11L2","Chr1","p","1p36.33",11869,"Chr1p"
"DDX11L1","Chr1","p","1p36.33",12010,"Chr1p"
"WASH7P","Chr1","p","1p36.33",14696,"Chr1p"
"FAM39F","Chr1","p","1p36.33",14696,"Chr1p"
"MIR6859-1","Chr1","p","1p36.33",17369,"Chr1p"
"HSA-MIR-6859-1","Chr1","p","1p36.33",17369,"Chr1p"
"MIR1302-2HG","Chr1","p","1p36.33",29554,"Chr1p"
"MIR1302-2","Chr1","p","1p36.33",30366,"Chr1p"
"HSA-MIR-1302-2","Chr1","p","1p36.33",30366,"Chr1p"
"MIRN1302-2","Chr1","p","1p36.33",30366,"Chr1p"
"FAM138A","Chr1","p","1p36.33",34554,"Chr1p"
"F379","Chr1","p","1p36.33",34554,"Chr1p"
"OR4G4P","Chr1","p","1p36.33",52473,"Chr1p"
"OR4G11P","Chr1","p","1p36.33",62949,"Chr1p"
"OR4F5","Chr1","p","1p36.33",65419,"Chr1p"
"CICP27","Chr1","p","1p36.33",131025,"Chr1p"
"RNU6-1100P","Chr1","p","1p36.33",157784,"Chr1p"
"DDX11L17","Chr1","p","1p36.33",182696,"Chr1p"
"WASH9P","Chr1","p","1p36.33",185217,"Chr1p"
"MIR6859-2","Chr1","p","1p36.33",187891,"Chr1p"
"HSA-MIR-6859-2","Chr1","p","1p36.33",187891,"Chr1p"
"RPL23AP24","Chr1","p","1p36.33",347982,"Chr1p"
"WBP1LP7","Chr1","p","1p36.33",439870,"Chr1p"
"OR4F29","Chr1","p","1p36.33",450740,"Chr1p"
"OR4F16","Chr1","p","1p36.33",450740,"Chr1p"
"OR4F3","Chr1","p","1p36.33",450740,"Chr1p"
"CICP7","Chr1","p","1p36.33",487101,"Chr1p"
"U6","Chr1","p","1p36.33",516376,"Chr1p"
"MTND1P23","Chr1","p","1p36.33",629062,"Chr1p"
"MTND2P28","Chr1","p","1p36.33",629640,"Chr1p"
"MTCO1P12","Chr1","p","1p36.33",631074,"Chr1p"
"MTCO2P12","Chr1","p","1p36.33",632757,"Chr1p"
"MTATP8P1","Chr1","p","1p36.33",633535,"Chr1p"
"MTATP6P1","Chr1","p","1p36.33",633696,"Chr1p"
"MTCO3P12","Chr1","p","1p36.33",634376,"Chr1p"
"WBP1LP6","Chr1","p","1p36.33",674842,"Chr1p"
"CICP3","Chr1","p","1p36.33",722092,"Chr1p"
"RNU6-1199P","Chr1","p","1p36.33",758233,"Chr1p"
"LINC01409","Chr1","p","1p36.33",778747,"Chr1p"
"FAM87B","Chr1","p","1p36.33",817371,"Chr1p"
"FLJ40008","Chr1","p","1p36.33",817371,"Chr1p"
"LINC00115","Chr1","p","1p36.33",824228,"Chr1p"
"FLJ22639","Chr1","p","1p36.33",824228,"Chr1p"
"NCRNA00115","Chr1","p","1p36.33",824228,"Chr1p"
"LINC01128","Chr1","p","1p36.33",825138,"Chr1p"
"RP11-206L10.11","Chr1","p","1p36.33",825138,"Chr1p"
"FAM41C","Chr1","p","1p36.33",868071,"Chr1p"
"TUBB8P11","Chr1","p","1p36.33",873292,"Chr1p"
"LINC02593","Chr1","p","1p36.33",916865,"Chr1p"
"AL645608.1","Chr1","p","1p36.33",916865,"Chr1p"
"SAMD11","Chr1","p","1p36.33",923923,"Chr1p"
"MGC45873","Chr1","p","1p36.33",923923,"Chr1p"
"NOC2L","Chr1","p","1p36.33",944203,"Chr1p"
"DKFZP564C186","Chr1","p","1p36.33",944203,"Chr1p"
"NET15","Chr1","p","1p36.33",944203,"Chr1p"
"NET7","Chr1","p","1p36.33",944203,"Chr1p"
"NIR","Chr1","p","1p36.33",944203,"Chr1p"
"PPP1R112","Chr1","p","1p36.33",944203,"Chr1p"
"KLHL17","Chr1","p","1p36.33",960584,"Chr1p"
"PLEKHN1","Chr1","p","1p36.33",966482,"Chr1p"
"DKFZP434H2010","Chr1","p","1p36.33",966482,"Chr1p"
"PERM1","Chr1","p","1p36.33",975198,"Chr1p"
"C1ORF170","Chr1","p","1p36.33",975198,"Chr1p"
"MGC13275","Chr1","p","1p36.33",975198,"Chr1p"
"RP11-54O7.8","Chr1","p","1p36.33",975198,"Chr1p"
"HES4","Chr1","p","1p36.33",998962,"Chr1p"
"BHLHB42","Chr1","p","1p36.33",998962,"Chr1p"
"ISG15","Chr1","p","1p36.33",1001138,"Chr1p"
"G1P2","Chr1","p","1p36.33",1001138,"Chr1p"
"IFI15","Chr1","p","1p36.33",1001138,"Chr1p"
"UCRP","Chr1","p","1p36.33",1001138,"Chr1p"
"AGRN","Chr1","p","1p36.33",1020120,"Chr1p"
"AGRIN","Chr1","p","1p36.33",1020120,"Chr1p"
"RNF223","Chr1","p","1p36.33",1070967,"Chr1p"
"C1ORF159","Chr1","p","1p36.33",1081818,"Chr1p"
"FLJ20584","Chr1","p","1p36.33",1081818,"Chr1p"
"LINC01342","Chr1","p","1p36.33",1137017,"Chr1p"
"MIR200B","Chr1","p","1p36.33",1167104,"Chr1p"
"HSA-MIR-200B","Chr1","p","1p36.33",1167104,"Chr1p"
"MIRN200B","Chr1","p","1p36.33",1167104,"Chr1p"
"MIR200A","Chr1","p","1p36.33",1167863,"Chr1p"
"HSA-MIR-200A","Chr1","p","1p36.33",1167863,"Chr1p"
"MIRN200A","Chr1","p","1p36.33",1167863,"Chr1p"
"MIR429","Chr1","p","1p36.33",1169005,"Chr1p"
"HSA-MIR-429","Chr1","p","1p36.33",1169005,"Chr1p"
"MIRN429","Chr1","p","1p36.33",1169005,"Chr1p"
"TTLL10-AS1","Chr1","p","1p36.33",1173056,"Chr1p"
"TTLL10","Chr1","p","1p36.33",1173880,"Chr1p"
"FLJ36119","Chr1","p","1p36.33",1173880,"Chr1p"
"TTLL5","Chr1","p","1p36.33",1173880,"Chr1p"
"TNFRSF18","Chr1","p","1p36.33",1203508,"Chr1p"
"AITR","Chr1","p","1p36.33",1203508,"Chr1p"
"CD357","Chr1","p","1p36.33",1203508,"Chr1p"
"GITR","Chr1","p","1p36.33",1203508,"Chr1p"
"TNFRSF4","Chr1","p","1p36.33",1211326,"Chr1p"
"ACT35","Chr1","p","1p36.33",1211326,"Chr1p"
"CD134","Chr1","p","1p36.33",1211326,"Chr1p"
"OX40","Chr1","p","1p36.33",1211326,"Chr1p"
"TXGP1L","Chr1","p","1p36.33",1211326,"Chr1p"
"SDF4","Chr1","p","1p36.33",1216931,"Chr1p"
"CAB45","Chr1","p","1p36.33",1216931,"Chr1p"
"B3GALT6","Chr1","p","1p36.33",1232237,"Chr1p"
"BETA3GALT6","Chr1","p","1p36.33",1232237,"Chr1p"
"C1QTNF12","Chr1","p","1p36.33",1242446,"Chr1p"
"ADIPOLIN","Chr1","p","1p36.33",1242446,"Chr1p"
"C1QDC2","Chr1","p","1p36.33",1242446,"Chr1p"
